"pga_tournament_id","pga_tournament_name","year","pga_course_name","dg_event_id","dg_event_name","dg_course_name","match_method"
"R2026500","Presidents Cup",2026,"Medinah CC (No. 3)",NA,NA,NA,"unmatched"
"R2026554","Bank of Utah Championship",2026,"Black Desert Resort",NA,NA,NA,"unmatched"
"R2026527","Baycurrent Classic",2026,"Yokohama Country Club (West Course)",NA,NA,NA,"unmatched"
"R2026528","Butterfield Bermuda Championship",2026,"Port Royal Golf Course",NA,NA,NA,"unmatched"
"R2026540","VidantaWorld Mexico Open",2026,"Vidanta Vallarta",NA,NA,NA,"unmatched"
"R2026457","World Wide Technology Championship",2026,"El Cardonal at Diamante",NA,NA,NA,"unmatched"
"R2026558","Good Good Championship",2026,"Omni Barton Creek Resort & Spa (Fazio Canyons Course)",NA,NA,NA,"unmatched"
"R2026493","The RSM Classic",2026,"Sea Island Golf Club (Seaside Course)",NA,NA,NA,"unmatched"
"R2026478","Hero World Challenge",2026,"Albany GC",NA,NA,NA,"unmatched"
"R2026551","Grant Thornton Invitational",2026,"Tiburón Golf Club",NA,NA,NA,"unmatched"
