"tournament_id","course_name","tournament_name","year"
"R2025028","Caves Valley Golf Club","BMW Championship",2025
"R2025060","East Lake Golf Club","TOUR Championship",2025
"R2025464","Silverado Resort (North Course)","Procore Championship",2025
"R2025468","Bethpage State Park (Black)","Ryder Cup",2025
"R2025054","The Country Club of Jackson","Sanderson Farms Championship",2025
"R2025527","Yokohama Country Club (West Course)","Baycurrent Classic",2025
"R2025554","Black Desert Resort","Bank of Utah Championship",2025
"R2025457","El Cardonal at Diamante","World Wide Technology Championship",2025
"R2025528","Port Royal Golf Course","Butterfield Bermuda Championship",2025
"R2025493","Sea Island Golf Club (Seaside Course)","The RSM Classic",2025
"R2025478","Albany GC","Hero World Challenge",2025
"R2025088","Dye's Valley Course","PGA TOUR Q-School presented by Korn Ferry",2025
"R2025551","Tiburón Golf Club","Grant Thornton Invitational",2025
"R2026006","Waialae Country Club","Sony Open in Hawaii",2026
"R2026002","Pete Dye Stadium Course","The American Express",2026
"R2026004","Torrey Pines Golf Course (South Course)","Farmers Insurance Open",2026
"R2026003","TPC Scottsdale (Stadium Course)","WM Phoenix Open",2026
"R2026005","Pebble Beach Golf Links","AT&T Pebble Beach Pro-Am",2026
"R2026007","The Riviera Country Club","The Genesis Invitational",2026
"R2026010","PGA National - Champion Course","Cognizant Classic in The Palm Beaches",2026
"R2026009","Arnold Palmer's Bay Hill Club & Lodge","Arnold Palmer Invitational presented by Mastercard",2026
"R2026483","Grand Reserve Golf Club","Puerto Rico Open",2026
"R2026011","TPC Sawgrass - THE PLAYERS Stadium Course","THE PLAYERS Championship",2026
"R2026475","Innisbrook Resort and Golf Club - Copperhead Course","Valspar Championship",2026
"R2026020","Memorial Park Golf Course","Texas Children's Houston Open",2026
"R2026041","TPC San Antonio - The Oaks Course","Valero Texas Open",2026
"R2026014","Augusta National Golf Club","Masters Tournament",2026
"R2026012","Harbour Town Golf Links","RBC Heritage",2026
"R2026018","TPC Louisiana","Zurich Classic of New Orleans",2026
"R2026556","Trump National Doral (Blue Monster)","Cadillac Championship",2026
"R2026480","Quail Hollow Club","Truist Championship",2026
"R2026553","Dunes Golf and Beach Club","ONEflight Myrtle Beach Classic",2026
"R2026033","Aronimink Golf Club","PGA Championship",2026
"R2026019","TPC Craig Ranch","THE CJ CUP Byron Nelson",2026
"R2026021","Colonial Country Club","Charles Schwab Challenge",2026
"R2026023","Muirfield Village Golf Club","the Memorial Tournament presented by Workday",2026
"R2026032","TPC Toronto at Osprey Valley (North Course)","RBC Canadian Open",2026
"R2026026","Shinnecock Hills Golf Club","U.S. Open",2026
"R2026034","TPC River Highlands","Travelers Championship",2026
"R2026030","TPC Deere Run","John Deere Classic",2026
"R2026541","The Renaissance Club","Genesis Scottish Open",2026
"R2026518","Hurstbourne Country Club","ISCO Championship",2026
"R2026100","Royal Birkdale Golf Club","The Open Championship",2026
"R2026522","Puntacana Resort & Club (Corales Golf Course)","Corales Puntacana Championship",2026
"R2026525","TPC Twin Cities","3M Open",2026
"R2026524","Detroit Golf Club","Rocket Classic",2026
"R2026013","Sedgefield Country Club","Wyndham Championship",2026
"R2026027","TPC Southwind","FedEx St. Jude Championship",2026
"R2026028","Bellerive Country Club","BMW Championship",2026
"R2026060","East Lake Golf Club","TOUR Championship",2026
"R2026557","The Cliffs at Walnut Cove","Biltmore Championship Asheville",2026
"R2026500","Medinah CC (No. 3)","Presidents Cup",2026
"R2026554","Black Desert Resort","Bank of Utah Championship",2026
"R2026527","Yokohama Country Club (West Course)","Baycurrent Classic",2026
"R2026528","Port Royal Golf Course","Butterfield Bermuda Championship",2026
"R2026540","Vidanta Vallarta","VidantaWorld Mexico Open",2026
"R2026457","El Cardonal at Diamante","World Wide Technology Championship",2026
"R2026558","Omni Barton Creek Resort & Spa (Fazio Canyons Course)","Good Good Championship",2026
"R2026493","Sea Island Golf Club (Seaside Course)","The RSM Classic",2026
"R2026478","Albany GC","Hero World Challenge",2026
"R2026551","Tiburón Golf Club","Grant Thornton Invitational",2026
