captured_at,ud_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,ud_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,12965,"Fowler, Rickie",Birdies,3.5,-122,100,0.5495495495495496,0.5,underdog_api,66.86,4.99,10.73,1.89,13.78,8.88,28.5
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Total Score,68.5,-107,-115,0.5169082125603864,0.5348837209302325,underdog_api,66.59,4.99,10.93,1.8,14.17,9.27,28.5
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Birdies,3.5,-176,142,0.6376811594202898,0.4132231404958678,underdog_api,66.59,4.99,10.93,1.8,14.17,9.27,28.5
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",GIR,13.5,-110,-112,0.5238095238095238,0.5283018867924528,underdog_api,66.59,4.99,10.93,1.8,14.17,9.27,28.5
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Bogeys,2.5,132,-162,0.43103448275862066,0.6183206106870229,underdog_api,66.59,4.99,10.93,1.8,14.17,9.27,28.5
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,24968,"Griffin, Ben",Total Score,68.5,-157,128,0.6108949416342413,0.43859649122807015,underdog_api,66.73,4.44,11.37,1.85,13.89,9.23,28
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,24968,"Griffin, Ben",Birdies,3.5,-118,-105,0.5412844036697247,0.5121951219512195,underdog_api,66.73,4.44,11.37,1.85,13.89,9.23,28
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,24968,"Griffin, Ben",GIR,13.5,112,-137,0.4716981132075472,0.5780590717299579,underdog_api,66.73,4.44,11.37,1.85,13.89,9.23,28
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,24968,"Griffin, Ben",Bogeys,2.5,112,-137,0.4716981132075472,0.5780590717299579,underdog_api,66.73,4.44,11.37,1.85,13.89,9.23,28
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,21501,"Dalke, Brad",Total Score,70.5,-124,100,0.5535714285714286,0.5,underdog_api,67.24,2.58,12.2,2.83,12.75,8.4,29.3
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,17536,"Spaun, J.J.",Total Score,68.5,-145,119,0.5918367346938775,0.45662100456621,underdog_api,67.09,4.96,10.72,1.99,14.04,8.89,29.2
2026-07-29T23:14:18Z,2026-07-29T23:13:17Z,2026-07-29T23:14:03Z,Rocket Classic,Detroit Golf Club North Course,1,1,29279,"Suber, Jackson",Total Score,69.5,-136,110,0.576271186440678,0.47619047619047616,underdog_api,67.77,5.2,10.43,1.95,14.12,8.36,29.2
