captured_at,kl_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,kl_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,32319,"Koivun, Jackson",Total Score,67.5,-167,167,0.6254681647940075,0.37453183520599254,,69.48,4.09,10.78,2.7,13.73,8.4,28.7
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,32457,"Keefer, Johnny",Total Score,69.5,239,-239,0.2949852507374631,0.7050147492625368,,69.03,3.95,10.93,2.64,13.54,8.46,29.1
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,13562,"Matsuyama, Hideki",Total Score,67.5,-138,138,0.5798319327731093,0.42016806722689076,,67.74,4.66,10.18,2.8,14.65,8.57,28.1
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,30620,"Chatfield, Davis",Total Score,68.5,-170,170,0.6296296296296297,0.37037037037037035,,69.52,3.74,11.27,2.59,12.89,8.89,28.7
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,26651,"Young, Cameron",Total Score,68.5,182,-182,0.3546099290780142,0.6453900709219859,,66.59,4.78,10.62,2.32,14.31,8.04,28.2
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,27774,"Gotterup, Chris",Total Score,67.5,-102,102,0.504950495049505,0.49504950495049505,,66.78,4.46,10.75,2.42,14.76,8.45,27.8
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,16395,"Kohles, Ben",Total Score,69.5,186,-186,0.34965034965034963,0.6503496503496503,,68.66,4.13,11.24,2.37,14.14,9.26,29.2
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,24968,"Griffin, Ben",Total Score,68.5,163,-163,0.38022813688212925,0.6197718631178707,,67.48,4.15,11.02,2.51,14.39,9.23,27.6
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,21501,"Dalke, Brad",Total Score,70.5,-426,426,0.8098859315589354,0.19011406844106463,,69.47,2.25,11.83,3.49,11.71,8.42,29.1
2026-08-06T00:44:33Z,2026-08-06T00:44:14Z,2026-08-06T00:44:14Z,Wyndham Championship,Sedgefield Country Club,1,1,24766,"Kim, Tom",Total Score,67.5,-141,141,0.5850622406639004,0.4149377593360996,,67.05,4.69,10.56,2.41,13.98,8.7,28.55
