captured_at,pp_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,pp_line,over_odds,under_odds,p_over_implied,p_under_implied,pp_odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,27774,"Gotterup, Chris",Pars,11,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.23,3.87,10.41,3.22,12.89,7.94,28.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,10091,"McIlroy, Rory",Pars,11,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,66.72,4.14,10.63,2.69,13.07,8.27,28.8
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,27900,"Potgieter, Aldrich",Pars,10.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.74,3.75,10.13,3.59,11.27,7.6,30
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,27900,"Potgieter, Aldrich",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.74,3.75,10.13,3.59,11.27,7.6,30
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,27774,"Gotterup, Chris",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.23,3.87,10.41,3.22,12.89,7.94,28.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23323,"MacIntyre, Robert",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.21,4.1,10.33,3.13,12.15,8.64,28.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23604,"Clark, Wyndham",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,67.89,4.19,10.46,2.92,12.88,7.97,28.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18841,"Hovland, Viktor",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.41,4.12,10.27,3.12,13.01,9.15,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,26745,"Chacarra, Eugenio",Total Score,69.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.02,3.75,10.31,3.48,12.15,8.68,29.3
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18841,"Hovland, Viktor",Total Score,68.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.41,4.12,10.27,3.12,13.01,9.15,29.1
